fov,cellID,rep,batch,leiden,umap_1,umap_2,x,y,z,nuc_volume(um3),doublet
0,294,1,1,0,9.466314,13.792992,1535.222,1795.424,15.131,201.242,0
0,295,1,1,0,9.632296,12.717148,1102.094,1835.817,20.355,147.897,0
0,296,1,1,0,8.5446,13.116554,1597.333,1845.912,20.917,196.566,0
0,298,1,1,0,6.484274,12.050087,66.837,1901.318,23.516,195.667,0
0,299,1,1,0,6.4443374,9.896507,891.758,1893.413,18.062,208.61,0
0,300,1,1,0,8.495363,13.542143,1393.412,1908.014,16.104,137.761,0
0,314,1,1,0,9.022939,12.453422,1307.446,1124.172,24.163,225.895,0
0,321,1,1,0,9.280718,12.779535,1433.227,1362.196,21.902,119.967,0
0,322,1,1,0,6.2066526,11.893146,1003.642,1373.287,22.345,360.284,0
0,326,1,1,0,9.513747,14.213043,971.37,1474.851,23.405,210.79,0
0,327,1,1,0,6.2677813,9.242157,710.819,1482.758,20.343,267.474,0
0,328,1,1,0,6.7160764,9.204363,1168.609,1488.188,30.155,317.291,0
0,331,1,1,0,7.722417,13.98733,302.094,1565.672,30.848,287.029,0
0,333,1,1,0,10.434107,10.876056,646.571,1577.884,19.177,155.241,0
0,334,1,1,0,7.866428,13.393887,1631.416,1602.6,19.133,172.826,0
0,335,1,1,0,6.783412,10.493357,511.616,1656.703,21.314,133.782,0
0,336,1,1,0,9.735927,13.260315,889.587,1705.664,16.305,124.494,0
0,338,1,1,0,9.180459,13.148495,1189.051,1738.737,20.488,185.053,0
0,340,1,1,0,9.943057,13.178686,937.263,1793.23,25.891,176.433,0
0,341,1,1,0,6.048313,13.864766,434.718,1805.244,22.796,165.511,0
0,345,1,1,0,8.138897,13.475272,105.075,1865.198,20.174,120.16,0
0,346,1,1,0,7.761175,12.499846,1097.627,1876.359,28.21,258.974,0
0,347,1,1,0,8.08551,14.42819,756.463,1878.137,16.989,148.932,0
0,349,1,1,0,7.67252,10.044666,1264.339,1952.458,23.252,113.938,0
0,363,1,1,0,9.830003,9.426224,1128.673,1333.5,25.904,243.914,0
0,369,1,1,0,5.6142426,11.431272,972.423,1422.465,29.439,258.096,0
0,372,1,1,0,9.937125,12.616801,1806.491,1431.441,18.15,214.363,0
0,373,1,1,0,7.4078474,11.216427,1643.353,1454.096,21.797,129.544,0
0,376,1,1,0,8.07063,12.674948,277.472,1510.837,24.138,177.722,0
0,377,1,1,0,6.4435596,9.360995,1082.642,1535.675,27.185,376.288,0
0,378,1,1,0,7.883485,11.972216,140.356,1535.014,30.076,255.804,0
0,382,1,1,0,6.1839113,13.575483,1513.294,1575.596,21.056,197.29,0
0,383,1,1,0,7.3299665,13.555714,1940.718,1582.557,21.253,140.933,0
0,388,1,1,0,9.555788,13.060271,484.926,1753.93,29.572,304.248,0
0,392,1,1,0,6.7366047,11.711874,1695.793,1892.011,25.117,151.512,0
0,393,1,1,0,8.230188,14.269293,698.162,1908.062,17.163,158.305,0
0,394,1,1,0,7.076273,12.685483,243.956,1921.478,21.848,253.627,0
0,413,1,1,0,7.4950805,8.666306,1582.58,1244.538,31.527,350.426,0
0,416,1,1,0,10.205809,11.314947,1808.352,1351.78,17.419,175.945,0
0,420,1,1,0,7.0429277,10.710849,1457.039,1409.75,27.745,302.829,0
0,422,1,1,0,9.515815,10.690512,1274.396,1438.831,23.63,156.424,0
0,425,1,1,0,7.1772265,11.199841,1453.811,1477.958,18.029,114.238,0
0,426,1,1,0,10.224766,11.174007,1762.79,1493.36,21.788,110.124,0
0,428,1,1,0,9.489141,11.790615,1475.861,1521.22,15.256,116.763,0
0,429,1,1,0,6.210904,10.676372,761.764,1563.087,29.914,272.304,0
0,430,1,1,0,7.9260926,10.49366,1003.455,1566.162,21.694,143.967,0
0,432,1,1,0,5.963185,12.42483,191.071,1586.414,29.014,418.005,0
0,434,1,1,0,9.710624,13.711657,1351.348,1617.658,27.43,287.735,0
0,436,1,1,0,10.142743,9.844961,448.739,1635.769,24.113,180.024,0
0,437,1,1,0,9.098555,14.044134,651.849,1671.68,26.671,160.843,0
0,438,1,1,0,9.096555,9.814737,142.663,1682.647,26.775,217.622,0
0,441,1,1,0,7.184652,12.676698,1344.296,1773.668,28.554,340.125,0
0,445,1,1,0,9.786701,12.017641,999.07,1833.132,22.479,184.241,0
0,448,1,1,0,8.4372,12.837473,1715.747,1847.857,20.547,134.641,0
0,449,1,1,0,8.677796,12.309818,696.689,1851.557,23.018,258.414,0
0,450,1,1,0,7.889544,9.51231,301.236,1871.454,28.77,165.994,0
0,452,1,1,0,5.939388,13.844104,196.74,1894.526,28.147,247.972,0
