gene,mean_centered_RNAPIISer5-P_Granule,mean_centered_RNAPIISer5-P_Purkinje,mean_centered_RNAPIISer5-P_MLI1,mean_centered_RNAPIISer5-P_MLI2+PLI,mean_centered_RNAPIISer5-P_Bergmann,normalized_scRNA_count_Granule,normalized_scRNA_count_Purkinje,normalized_scRNA_count_MLI1,normalized_scRNA_count_MLI2+PLI,normalized_scRNA_count_Bergmann,log10_intron_counts_Granule,log10_intron_counts_Purkinje,log10_intron_counts_MLI1,log10_intron_counts_MLI2+PLI,log10_intron_counts_Bergmann,intron_counts_Granule,intron_counts_Purkinje,intron_counts_MLI1,intron_counts_MLI2+PLI,intron_counts_Bergmann
Xkr4,0.0,0.62496,1.1118350000000001,0.8126199999999999,0.10913000000000009,0.053301807083357,-0.222646551888885,2.44585346186495,1.1763992387980935,-0.67988081151102,-3.368472838440384,-inf,-1.9428344937700983,-inf,-inf,0.0004280821917808,0.0,0.0114068441064638,0.0,0.0
Unc5c,0.018970000000000015,0.2265299999999999,0.6991449999999999,0.702755,0.0,-0.0086372564666962,-0.388275569978352,1.67087532022229,1.5624968575136848,-0.745383460982024,-2.5903215880567236,-2.1072099696478683,-1.8178957571617975,-1.9444826721501711,-2.4132997640812586,0.0025684931506849,0.0078125,0.0152091254752851,0.0113636363636363,0.0038610038610038
Adamts2,0.033989999999999854,0.0,0.8954399999999999,0.4649899999999999,0.22799000000000003,-0.595704,-0.6425107,2.572569,1.6049925,-0.6489645,-2.414230329001048,-inf,-1.0775330676675519,-1.099384632135912,-2.71432975974524,0.0038527397260273,0.0,0.0836501901140684,0.0795454545454545,0.0019305019305019
Plxna4,0.0,0.85875,1.5316500000000002,0.8373499999999999,0.5673499999999999,-0.419157022926017,0.0219668201333374,3.18400657561474,0.2631581655762095,-0.736814046736966,-3.368472838440384,-1.630088714928206,-1.118925752825777,-inf,-2.71432975974524,0.0004280821917808,0.0234375,0.0760456273764258,0.0,0.0019305019305019
Sorcs3,0.0,0.5289789999999999,1.5544490000000002,0.624914,0.631979,-0.3498237,-0.3594967,3.873497,-0.33642055,-0.3549732,-3.067442842776403,-1.806179973983887,-0.40711852378458563,-inf,-inf,0.0008561643835616,0.015625,0.3916349809885932,0.0,0.0
Grid1,0.0,0.622665,1.720835,0.6887,0.8105450000000001,-0.611600905516853,-0.623315802698076,2.95438624568059,-0.0476159483897195,0.167345707769391,-2.5903215880567236,-inf,-1.516865761497815,-inf,-2.0153597554092166,0.0025684931506849,0.0,0.0304182509505703,0.0,0.0096525096525096
Galnt18,0.0,0.3009200000000001,1.04767,0.3237700000000001,0.26417,-0.381342744505879,-0.459827793426378,3.04861832349706,-0.4120925073575885,-0.0677631864816064,-1.863322860120456,-1.806179973983887,-0.06012026614986987,-inf,-1.4590572546419276,0.0136986301369863,0.015625,0.870722433460076,0.0,0.0347490347490347
Adarb2,0.0,0.3496529999999999,1.48082,0.7647399999999998,0.2390839999999999,-0.4759845,-0.4853123,3.247507,0.305803,-0.4398658,-2.1643528557844403,-1.4082399653118496,-0.37463276970310044,-1.6434526764861879,-2.4132997640812586,0.0068493150684931,0.0390625,0.4220532319391635,0.0227272727272727,0.0038610038610038
Plch1,0.0,0.2663419999999999,1.19366,0.6279149999999998,0.2162949999999999,-0.48381959060281,-0.481445229119003,2.92716471301951,-0.0289569163807104,-0.48270614940314,-2.8913515837207218,-1.806179973983887,-1.4657132390504335,-inf,-inf,0.0012842465753424,0.015625,0.0342205323193916,0.0,0.0
Adgrl3,0.0,0.23939,1.42879,0.348455,1.073355,-0.449228172678829,-0.721561888491851,2.51391900385781,-0.45269234812269,2.5389966965637,-2.669502834104345,-inf,-0.6491037368476138,-inf,-0.950901766182296,0.0021404109589041,0.0,0.2243346007604562,0.0,0.1119691119691119
