baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Pdgfd	5.49545776079935	-7.87922438179958	0.366827793736015	-21.4793549353292	2.42855348104274e-102	7.03093216689441e-100
Hdac8	10.8680156343277	-2.48805758668494	0.116030241427002	-21.4431820194932	5.287210126266e-102	1.49742985923899e-99
Ttyh1	3.67002824899419	-3.25809338374544	0.1538554844777	-21.1763226693272	1.57887186352128e-99	4.3764984336075e-97
Cdh20	10.1153319085044	-5.51925025124223	0.260741920941981	-21.1674832773451	1.90460186955529e-99	5.16940690761799e-97
Pde7b	5.31726526082578	-6.46463760450097	0.306183560991281	-21.1136012121992	5.9649850247084e-99	1.58595561024288e-96
Anks1b	62.0023061041149	6.20805545742634	0.294163449305102	21.1041020632969	7.29267689936304e-99	1.90017989289803e-96
Atp1a2	16.0904094350873	-5.65827779891752	0.269997494922185	-20.9567788788124	1.62733855674512e-97	4.15705229750497e-95
Cadps2	4.86343903183541	5.6394727519656	0.26959219101169	20.918531545007	3.63123883159756e-97	9.09764990347172e-95
Dock1	3.96648384467005	-6.56681192040612	0.315221622821366	-20.8323650567826	2.20309186391149e-96	5.41544920812054e-94
Srgap1	6.84665557877427	-6.58556360376703	0.316480140393514	-20.8087736424108	3.60447582970386e-96	8.69613168692257e-94
Stk32a	6.57852224120462	-8.46535519120304	0.407301928352787	-20.7839801432777	6.04346827057632e-96	1.4315328114376e-93
Kcnn2	7.18002328657325	-3.66435363422971	0.176631245044957	-20.745783869083	1.33825312903345e-95	3.11335031518712e-93
Dao	1.7627171044184	-6.22342853312508	0.303958067576671	-20.4746285655184	3.62500976963362e-93	8.28537320680469e-91
Cacna1a	22.8377357038487	3.14367683110494	0.153829805778833	20.4360709889001	7.99200573619079e-93	1.79516984019127e-90
Mdga2	37.5491567787741	-4.87158010922377	0.241213029588094	-20.1961731401603	1.05784339677345e-90	2.33586165646856e-88
St3gal4	11.2132399362391	-5.35484020874735	0.265813066577924	-20.1451353678189	2.96897143764505e-90	6.44662664827329e-88
Rfx4	1.17124116080779	-6.62836111038486	0.333128857706735	-19.8972888629782	4.29542789148721e-88	9.17390730660579e-86
Cyp2d22	1.11859900887801	-5.61048546315213	0.282971652542139	-19.8270229994739	1.74040455324862e-87	3.65709524511661e-85
Pclo	9.47979702898367	3.43640752797087	0.173713051893852	19.7820917340782	4.24702493209924e-87	8.78257790720458e-85
Rgma	1.82465112212459	-3.17504335084607	0.160924514822049	-19.7300166128016	1.19131187651143e-86	2.42506423862357e-84
Sparcl1	9.19710944054883	-5.80574259439716	0.294722394571076	-19.6990208458592	2.19830363408154e-86	4.40607688381758e-84
Mertk	8.75518556532589	-6.74082393887839	0.345258544414432	-19.5239887554731	6.86628212553088e-85	1.35536247774873e-82
Ahcyl1	3.82765513107515	-2.12465293539133	0.109202076427511	-19.456158755385	2.58444696614689e-84	5.02539926491965e-82
Nwd1	1.31512055844722	-7.81713324054938	0.401841642293904	-19.4532681977046	2.73435156708132e-84	5.23869591410815e-82
Greb1l	2.98740419930164	-6.04466073549596	0.312410148612416	-19.3484775137543	2.09952890456109e-83	3.96415399545245e-81
Fam107a	1.21818232951091	-6.51803759839177	0.337139056645191	-19.3333803067837	2.81365249560447e-83	5.23660924467643e-81
Rims1	16.0797297302868	5.52205183904516	0.285800472618905	19.3213530700085	3.55216500329047e-83	6.517972628573e-81
Nrxn1	63.6961232414426	6.8401539195171	0.35448580766756	19.2959880806621	5.80446938784009e-83	1.05028648867751e-80
Wasf3	3.63122931946992	-2.39012526291644	0.123953731998652	-19.2823985561196	7.54933853981333e-83	1.34729839036559e-80
Whrn	1.84494694438991	-6.69640136658541	0.348391408672506	-19.220914178398	2.47373136036166e-82	4.35510434632321e-80
Rgs20	3.41430000529235	-2.75132839426183	0.143155541159738	-19.2191540192762	2.55908325652246e-82	4.44529822212994e-80
Tsc22d3	4.98091812260476	-4.97904403597939	0.260266061540947	-19.1305927730268	1.40467858555161e-81	2.40791481744294e-79
Bmpr1b	1.10011014003608	-5.69039291534765	0.300156995404367	-18.9580552926366	3.78896791433329e-80	6.41073688154988e-78
Eps15	4.02206971471667	-3.15275428557903	0.166540924563395	-18.9308081112455	6.3579525157311e-80	1.06194109455057e-77
Acot11	1.17031545448714	-5.54051185492356	0.293128462567805	-18.9013097069752	1.11256225641495e-79	1.83474190842709e-77
Shroom3	3.35572022927057	-6.02742254317232	0.319152618235263	-18.8857060816252	1.49525120335519e-79	2.43501658466392e-77
A2m	0.923347951772014	-7.83001884292176	0.414929981632192	-18.8706991288534	1.98652931322939e-79	3.19512393737685e-77
Pde8b	5.13696845015743	-6.0024346714054	0.31841448152077	-18.8510103018473	2.88283812488775e-79	4.58019696232165e-77
Plscr4	1.45077870160199	-6.09486158141473	0.323398983378669	-18.846260794451	3.1536092337133e-79	4.95002663817071e-77
Thrb	6.5503612475974	-5.0850910769641	0.27149321307222	-18.7300854390471	2.81463920000434e-78	4.36537136876864e-76
Kcnd2	56.8121086294801	7.42269357666991	0.396709690823621	18.7106434462426	4.05450244095313e-78	6.21435974126323e-76
Cdh10	5.71734817170824	-5.30463591774106	0.284512983684827	-18.6446180734491	1.39648091103731e-77	2.11550619872024e-75
Kitl	4.012568315384	-5.06024154995696	0.272120102929413	-18.5956182416613	3.48669635102914e-77	5.22122759324226e-75
Snap25	12.7623409836051	4.98060434074907	0.268096027600858	18.5776879475596	4.87040950508637e-77	7.21041989003014e-75
Galnt13	11.6776166338185	6.4608683569638	0.349523945614281	18.4847660311483	2.73884313681855e-76	4.0091739760081e-74
Phka1	4.29772705853425	-3.92572006019477	0.214060862833102	-18.3392704683974	4.02157565776571e-75	5.82145418548574e-73
Gm6277	1.0915185717394	-5.25813264051164	0.286821347010146	-18.3324313037469	4.56056487195831e-75	6.52912518152448e-73
Fat3	8.95312136953441	-4.09936798151511	0.223648764209256	-18.3294908693506	4.81389701840736e-75	6.81689677780555e-73
Kank1	3.08289707423184	-4.68928855887928	0.255882946108986	-18.3259128057796	5.14115987652133e-75	7.20204633024945e-73
Arhgef26	2.00749469319245	-5.68465555430084	0.31037787960621	-18.315272858727	6.25127975031279e-75	8.66400772202925e-73
Arap2	3.21291169550331	-6.88695049615838	0.377075314911687	-18.2641244966442	1.59754700823577e-74	2.19082551824164e-72
Meg3	95.5874933191755	6.20638180649074	0.340240962709966	18.2411363906858	2.43346149409909e-74	3.30241003595031e-72
Plekhg1	4.17475937257439	-6.11170223770414	0.335415030393344	-18.2213129523054	3.49663533704757e-74	4.6963056877377e-72
Dnah7b	1.10693624379504	-4.90204707847884	0.269880057969881	-18.1637988199407	9.98688599925233e-74	1.32764439590061e-71
Prkce	7.44882729648029	4.7129656521767	0.259829255130927	18.1387028562348	1.57709603884568e-73	2.07539466606884e-71
Dpp6	35.6709585325544	6.76600787758928	0.373031679058631	18.1378908479401	1.60056733832661e-73	2.08521912837191e-71
Foxo1	1.62606302873611	-2.75050439303393	0.15194498033586	-18.1019760373407	3.07437705902576e-73	3.96564201237501e-71
Sept4	6.18214695594947	-3.69571412057237	0.204425929529782	-18.0784997728674	4.70715375270292e-73	6.01223520492291e-71
Etv1	4.746820950169	3.90444778981238	0.216185646092116	18.0606245622279	6.50820658472258e-73	8.23193353259862e-71
Cables1	2.2765310208711	-5.80537530543202	0.321819333519457	-18.0392372389306	9.58578596901581e-73	1.2008040346571e-70
