baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Prkcg	1.54555897800233	-5.0891538344936	0.204089344889612	-24.9359114619443	3.03622618295618e-137	2.08189235323964e-134
Ptprz1	21.3770919949032	-6.74793260715908	0.272386171154824	-24.7734037985488	1.73504760232791e-135	1.1302100081564e-132
Hcn1	19.9019430230543	-3.27655471342231	0.134964026726575	-24.2772447806429	3.41007619799197e-130	2.11554631940188e-127
Dscam	15.76683615561	-5.26367536334486	0.218211783362836	-24.1218658416469	1.47412514632405e-128	8.72950109377715e-126
Rbfox3	5.89919691843204	5.90143277414268	0.24600151576701	23.989416308036	3.58631478439172e-127	2.03141343526327e-124
Vav3	3.76588009535705	-6.26556282658004	0.264070268165459	-23.7268772062374	1.90414338998266e-124	1.03363250352892e-121
Rnf157	3.77067668183115	-3.49944103838527	0.147914602156091	-23.6585231435932	9.64461178327263e-124	5.02600009249903e-121
Trpc5	2.53602995735437	-4.2571814441612	0.180817613685707	-23.5440638629428	1.44404577495137e-122	7.23578013694861e-120
Cadps2	4.86343903183541	5.97362979517456	0.254246909614765	23.4953880234997	4.54647998509606e-122	2.19376078688264e-119
Cntn6	8.90812863580563	2.563595171975	0.109629435605822	23.3841865353802	6.19061518678317e-121	2.8804048090504e-118
Caln1	9.35065797385322	2.34274263637973	0.10024909341769	23.3692151870007	8.79033932472522e-121	3.94898416284552e-118
Npas3	22.1407412682527	-5.70023010509107	0.244744051462748	-23.2905767107426	5.52373430788617e-120	2.39877368543804e-117
Stxbp5l	7.77230122634282	2.5279797219091	0.109254389368465	23.1384728478357	1.8991964460674e-118	7.98152622560195e-116
Hipk2	8.4444940378115	-3.53125998484012	0.154879956605566	-22.7999804637938	4.58718056997275e-115	1.86755588955015e-112
Grid2	178.250974584135	-3.58450111271469	0.158799451432683	-22.5725031187163	8.07433120222187e-113	3.18764808795596e-110
Sntg1	8.22226263681949	-4.99233848027525	0.222832822747156	-22.4039637371554	3.60073522320161e-111	1.37971701434913e-108
Cttnbp2	7.9613144196392	-4.33784919971401	0.196083226280302	-22.1224899345191	1.92031750347182e-108	7.14797041006596e-106
Myo16	8.90578837664314	-4.5006647916149	0.204310796666052	-22.0285215713357	1.53502087632532e-107	5.55506999354618e-105
Plcb1	33.4091853400275	-3.65330495667518	0.166763076982907	-21.9071572842809	2.22014396863118e-106	7.81730692522353e-104
Syndig1	6.1293384867127	-2.55471637640738	0.117482912107124	-21.7454294466069	7.63150596081993e-105	2.61640156993584e-102
Ccdc88a	6.56422939609619	-4.07701984475491	0.187847070521091	-21.7039309340581	1.88352347494176e-104	6.2919343157798e-102
Scn2a1	4.24859141861227	2.58112990336347	0.119198510661139	21.654044912534	5.56732175282657e-104	1.81327669489561e-101
Plxna4	6.91537150276689	-3.7744340880454	0.175169807409602	-21.5472868518922	5.61418038020765e-103	1.78394004861818e-100
Cacnb2	7.93349125064505	-3.44619929278407	0.162840970059497	-21.1629744745744	2.09575721058389e-99	6.50083927130641e-97
Arhgap32	5.44580689013168	-6.41154464082129	0.304253636496334	-21.0730255015326	1.40651176000977e-98	4.26140353707147e-96
Dusp10	1.44398008943551	-4.87618676354355	0.231817624856599	-21.0345816741067	3.16552631848432e-98	9.37283565391221e-96
Whrn	1.84494694438991	-7.12077733120302	0.340222260140722	-20.9297808093384	2.86812156809883e-97	8.30353061982036e-95
Socs2	1.88724219589336	-8.76631658262241	0.423192498403245	-20.7147258415467	2.55154041254563e-95	7.22640619448794e-93
Mgat4c	12.7987540735504	-5.23297595688867	0.254487813925278	-20.5627761745212	5.91500132496685e-94	1.639588026844e-91
Kit	4.73016282015325	-8.08396958540088	0.393483831229279	-20.5446042348064	8.60094537372713e-94	2.3344399235191e-91
Sorbs2	7.62302030353147	-2.40416572187035	0.11720970067011	-20.5116616468201	1.69407028034709e-93	4.5041525739514e-91
Slc24a2	19.7452845168676	-6.60256008972516	0.322733330147758	-20.4582529071364	5.07235279515917e-93	1.32057057310378e-90
Mctp1	6.15522802287772	5.66382641236903	0.276860528713799	20.4573271555944	5.16956549188616e-93	1.32057057310378e-90
Nos1	0.93615905132715	-3.26275710925787	0.161450526539872	-20.2090211731339	8.15491556487057e-91	2.04311999959873e-88
Arhgef26	2.00749469319245	-6.02171072771627	0.300128128384714	-20.0637999514575	1.52937873794664e-89	3.75938607508847e-87
Hecw1	4.33533438463226	-2.67003808833828	0.133623609945128	-19.9817838287315	7.93377780442036e-89	1.91409735622201e-86
Grin2b	6.97820168928022	-4.27739623298426	0.21416936588344	-19.9720264162905	9.64595094127912e-89	2.28486270659972e-86
Phactr2	3.79443767903417	-6.34124771133569	0.319802231916033	-19.8286537068341	1.68489349816328e-87	3.91978437394128e-85
Plch1	0.869347166531336	-6.83842076597772	0.346019917291283	-19.7630842163951	6.19042032334454e-87	1.41489115741285e-84
Rbms1	8.07512581878256	-4.93317669616576	0.249668847644613	-19.7588795827176	6.72816452711832e-87	1.51128495619478e-84
Hunk	2.78414898992533	-7.14588028312822	0.362031118486151	-19.7383040248281	1.01115392279269e-86	2.23276496714291e-84
Snhg11	86.3208645926	-2.64058937200129	0.133807971108742	-19.7341709176305	1.09732183661152e-86	2.38265148122915e-84
Gm13629	3.38035732870851	-4.34581483731399	0.220787622905165	-19.6832357725988	3.00209218826306e-86	6.4116814801133e-84
Inadl	4.94139655603656	3.01172230297167	0.15328259920452	19.6481682761213	5.99370921185018e-86	1.25945231632233e-83
Dach1	6.5016637916737	-5.40371428584999	0.276082655086653	-19.572813381391	2.63713919174119e-85	5.45343641111178e-83
Gad2	3.10138784921136	-5.91612981185355	0.30491040286495	-19.4028467256786	7.3014086583878e-84	1.48629300002307e-81
Cabp1	5.3816064323097	-2.92245681765773	0.151619780116825	-19.2749047347644	8.72608981059127e-83	1.74897689311359e-80
Nln	1.43779149557492	-4.66918094462981	0.242748122919425	-19.2346737370227	1.89733436788932e-82	3.74522305225182e-80
Spock3	7.48828441032388	-4.99409153633627	0.259875399054181	-19.2172539398201	2.65451920117191e-82	5.16165315714442e-80
Phf24	2.59929339558551	-4.65976032755331	0.242550776933268	-19.2114838240049	2.96664408766799e-82	5.68374105502037e-80
Btbd11	3.60441299031919	-3.70035825755235	0.192660401571906	-19.20663627482	3.25697629567501e-82	6.14954886667449e-80
