baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Nos1ap	4.06195640969734	1.33405592349903	0.179464737415939	7.43352673459822	1.05739808462014e-13	2.8030885503686e-11
Dach1	6.5016637916737	4.83305657876047	0.651141777120151	7.42243355991679	1.14987676255536e-13	2.97896482190194e-11
Pla2g3	2.9989463607318	-2.26182255992895	0.305528775103819	-7.40297721273678	1.33164607921554e-13	3.37320747932844e-11
Bcl6	3.21957639670083	-2.35011966064415	0.318797519166082	-7.37182543575511	1.68307313840546e-13	4.17072841406169e-11
Pvt1	3.36138134494385	-2.38269719225165	0.324376195967791	-7.34547485872927	2.05029867592492e-13	4.97262863975919e-11
Gabrd	1.05896524361646	-3.8428131962095	0.524328954055374	-7.32901199998134	2.31855627735067e-13	5.50608812615007e-11
Ephb2	2.42541553011541	2.8609883356698	0.396253249331548	7.22010063134142	5.19491170868484e-13	1.20850609321017e-10
Man2a1	3.20053912157225	4.06252862651017	0.563740507798568	7.2063805426623	5.7458684391023e-13	1.30994308674654e-10
Ryr2	10.683028223928	-1.69449089495981	0.236172253419728	-7.17480936233583	7.24080114744391e-13	1.61839004470026e-10
Nrg3	27.5895975413992	-1.84303780967566	0.257218507741925	-7.1652612631002	7.76383450424527e-13	1.70192210603638e-10
Slc8a1	17.6584488287059	2.45821545805556	0.345849940882129	7.10775156354113	1.17948622892841e-12	2.53678557048206e-10
Dlg2	30.3727537900556	-1.30813238264398	0.184527603308068	-7.08908780687979	1.34998855541497e-12	2.84972584132875e-10
Rmst	4.68673268631703	-1.64138550629026	0.232224843536793	-7.06808746769682	1.57083531367814e-12	3.25562758920312e-10
Myrip	1.43463480150025	2.92728837570845	0.419147229290697	6.98391441275221	2.87066985982043e-12	5.84335102358806e-10
Shisa9	4.2577124855677	-5.47699085946639	0.794253723575538	-6.8957698237917	5.35738809929407e-12	1.07138363059391e-09
Mtcl1	5.84503704207203	-1.48578326024619	0.2157562178048	-6.88639834051233	5.72226182641744e-12	1.12462176826435e-09
Cacng2	4.44745896754598	-0.834497022678471	0.121981711543187	-6.8411650576244	7.85516842651983e-12	1.51764516769321e-09
Grm3	9.31265232023421	2.91503096027665	0.42746825426214	6.81929226606157	9.14901033177295e-12	1.73815947953133e-09
Tbc1d4	8.58753551611617	1.43686997380937	0.210871949090508	6.8139455247917	9.49576745576431e-12	1.74584279400415e-09
Ppp2r2b	11.3139324037685	-3.25766580337481	0.477941705241653	-6.81603167844013	9.35896674584847e-12	1.74584279400415e-09
Prkg1	23.7727363791321	-2.53731350119266	0.373338072408616	-6.79628917785698	1.07348202204247e-11	1.94232088400987e-09
Chst9	1.54154661230754	6.7380519511531	0.994056665355	6.77833788151986	1.21566283363495e-11	2.16520947509451e-09
Acvr1c	0.751918590461944	-4.48984980870566	0.67668710474784	-6.63504561739617	3.24402193118746e-11	5.68901630670859e-09
Dcc	9.87673293701495	4.57986606265291	0.692928168086642	6.60943842894875	3.85780626653944e-11	6.6628990351944e-09
Mgat4c	12.7987540735504	1.87368319594908	0.283596747479497	6.60685713994142	3.92564523831965e-11	6.67887015994115e-09
Gabbr2	5.68829480960804	-1.00059115265745	0.151637964239861	-6.59855305808982	4.15189893595479e-11	6.95992587808069e-09
Pex5l	10.717153947314	-3.02037751401479	0.465441991331356	-6.48926734215635	8.62547924579413e-11	1.42495417279431e-08
Nrp1	2.54066056089506	-5.43643401578507	0.840876237570631	-6.46520114718835	1.01164149812731e-10	1.64738591959331e-08
Iqsec1	4.95622009996938	1.60401129732117	0.249352009721576	6.43271854561023	1.25341620658837e-10	2.01235089280293e-08
