baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mcc	7.34333449397788	4.2307558674737	0.257692853308621	16.4178238284584	1.42589668962972e-60	5.62926729469576e-58
Gria1	12.1023651609352	9.28848113857647	0.575466712320284	16.1407791966373	1.31866032014593e-58	5.05279607378268e-56
Cntn4	29.704113525841	-6.67175785080219	0.416215428985857	-16.0295784014026	7.94197371688062e-58	2.95622953095774e-55
Eml5	13.3354678516805	-4.35807705875052	0.272484274615159	-15.9938663062506	1.41001759909428e-57	5.10269702250006e-55
Ube3a	31.159746837605	-3.95136557767059	0.247718079504498	-15.9510584999463	2.80108755580688e-57	9.86285639920326e-55
Xkr4	15.7907059345623	-6.22809450606993	0.391038107706947	-15.9270781627693	4.11124075932499e-57	1.40950643717068e-54
Nhsl1	6.3318678446144	7.38224333992573	0.46719570902804	15.8011796711144	3.05348609046598e-56	1.02002094324592e-53
Hcn1	19.9019430230543	-7.90234995789129	0.501966284691795	-15.742790300634	7.69732685701761e-56	2.50701935733063e-53
Lrp1b	55.7254616842066	-6.0511525300689	0.384430196133514	-15.7405755087129	7.97153635903226e-56	2.53300428501152e-53
Csmd1	27.774840188178	-7.89373685117028	0.509706407300142	-15.4868307286591	4.25767742640625e-54	1.3206909883624e-51
Pla2g7	5.12545523420496	4.24222702893528	0.27656485009529	15.3389956369135	4.19637372364119e-53	1.27140364817668e-50
Cacna2d3	20.374917067211	-5.45798149012603	0.358482180818106	-15.2252518595768	2.40430934487436e-52	7.11894139659619e-50
Dfna5	6.36083183190007	4.20879733030293	0.281481210821044	14.9523206825295	1.50414705221093e-50	4.35467284360088e-48
Lrrc4c	52.2795654572474	-5.28113282938698	0.354810042176458	-14.8843950328793	4.16234360951736e-50	1.17884809879983e-47
Ptprm	17.2581311256087	3.85436741065198	0.260035107694651	14.8224885663439	1.04827731046829e-49	2.90573548952784e-47
Lrig1	2.1550861284343	5.25566991696853	0.357650091799082	14.6950050831275	6.93932799968259e-49	1.88344927458052e-46
Sfxn5	4.83124449728229	2.13984518593692	0.146408486320049	14.6155816491348	2.2343797926125e-48	5.940714273093e-46
Il1rapl1	26.4346032092261	-5.49544814705706	0.378864757159426	-14.5050391814211	1.1257318174214e-47	2.93320682347321e-45
Gria3	12.2301631522773	-7.56661143021476	0.530055854677466	-14.2751209395074	3.12744788083596e-46	7.9890962728492e-44
Atp1a2	16.0904094350873	5.97732131208361	0.419242200736039	14.2574418834497	4.02956737194147e-46	1.0095616100318e-43
Gpr158	13.1833874606439	-3.0754043298966	0.217879921947607	-14.1151341638361	3.06432206759526e-45	7.53245054653415e-43
Sparcl1	9.19710944054883	4.76600039479671	0.338544785645464	14.0779022359182	5.19284744291108e-45	1.25282252752306e-42
Psd3	7.2101596079571	3.15655361298703	0.225231805902183	14.0146885576094	1.26753107798226e-44	3.00243543344597e-42
Tbc1d4	8.58753551611617	-5.23835137470883	0.375744897324787	-13.9412442111779	3.55685038016399e-44	8.27475834871009e-42
Slc1a2	5.67203409096372	5.51942422171749	0.397285507079968	13.8928405978991	7.00030388021449e-44	1.59999927984973e-41
