baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Arhgap26	14.0586933876429	-2.76782497687467	0.292764283706166	-9.45410738576502	3.25789679406972e-21	1.37059718126513e-18
Rbfox3	5.89919691843204	-3.29934380505581	0.354333904900525	-9.31139741194696	1.26161388628688e-20	5.13639640607314e-18
Slc35f1	7.09037641995227	-4.21313099161439	0.454275894684515	-9.27438818769004	1.78641308411232e-20	7.04572485455676e-18
Mctp1	6.15522802287772	-3.47620521482849	0.376518186424246	-9.23250281172776	2.64380779772689e-20	1.01113630954882e-17
Cacna2d2	2.78608648432805	-2.672547605396	0.291751802459135	-9.16034650983978	5.17309389243776e-20	1.92028288283697e-17
Airn	4.98881988441822	-3.14156722633679	0.34927711046048	-8.99448355546406	2.37345442285179e-19	8.55867664880357e-17
Ctnna3	23.4220195664711	-3.97602117508998	0.442241589438964	-8.99060891159973	2.45864452406944e-19	8.6195979273001e-17
A930011G23Rik	4.43117696347896	-2.43984504992566	0.274976542440485	-8.87292067996576	7.12520845672224e-19	2.43046637654842e-16
Csmd2	6.81665150920962	-2.71707979842495	0.307247403794903	-8.84329619995322	9.29354346419876e-19	3.08667926478033e-16
Ncam2	23.8588936189905	-2.78196488176606	0.3158146517654	-8.80885312386525	1.26432716762988e-18	4.09155722632224e-16
Cntnap2	30.815759170952	-2.36787489756568	0.27172013653108	-8.71438873760038	2.92331653059532e-18	9.22379448316088e-16
Grm5	9.23315300041554	-5.40877601833141	0.634806027236319	-8.52036021440906	1.59057837352828e-17	4.77968801245248e-15
March1	5.82844323357033	-4.60342567570489	0.540192923817104	-8.52181780386204	1.57068340965229e-17	4.77968801245248e-15
Ntrk3	8.06869724521495	-4.68182261632942	0.561531493494284	-8.33759579039012	7.58162257822301e-17	2.22529438511053e-14
Slc24a3	13.8961567387132	2.64089484112671	0.321672146674263	8.20989590933087	2.213803290211e-16	6.35009348312568e-14
Kcnh1	2.26756976861802	-4.54845120679522	0.558213690644857	-8.14822581929293	3.69302246884495e-16	1.02789470395818e-13
Kirrel3	50.0870424014536	2.88724957799367	0.354416376471691	8.14649031384216	3.74638747976201e-16	1.02789470395818e-13
Sez6l	2.57059581181956	-5.1251934071763	0.629574393100483	-8.14072723310127	3.92910672231995e-16	1.05509055196596e-13
Chrm2	2.80509891066538	-8.81675211398179	1.08360641960634	-8.13648936962259	4.06904558842099e-16	1.06990467440544e-13
Grik4	2.37898318522218	-6.49359306429737	0.803823397421153	-8.07838274567558	6.56313373486233e-16	1.69047573199383e-13
Gria1	12.1023651609352	-5.18548697637716	0.64342126584304	-8.05924089186406	7.67696817055027e-16	1.9378203056103e-13
Fstl5	2.81747349052718	-4.67271181610638	0.581285983637033	-8.03857644540095	9.08881513268955e-16	2.24921442724853e-13
Sncaip	3.16571552195783	-6.4669825608274	0.817089248362013	-7.91465873990082	2.47932202830127e-15	6.01760063830584e-13
Ephb1	4.64200221186633	-3.09703000748421	0.392237256330347	-7.89580784971599	2.88440777583674e-15	6.86870010166708e-13
Garnl3	4.67751934404709	-4.03515707778354	0.511642033461735	-7.88668016676023	3.1033140384483e-15	7.25313453319555e-13
Clstn2	3.05436545444408	-4.14309810169365	0.534718825285062	-7.7481807368292	9.32183987621298e-15	2.13910801959425e-12
Kcnh7	3.08542159402607	-5.71120333974118	0.741954426482665	-7.69751232136442	1.38740715369424e-14	3.11175955228882e-12
Nav2	17.1248992811375	-2.2200521572739	0.288473229789104	-7.69586889881229	1.4053584857021e-14	3.11175955228882e-12
Dpp6	35.6709585325544	-1.81524968415568	0.236242451028831	-7.68384207093309	1.54386971616268e-14	3.35951373925675e-12
X4930578G10Rik	7.25647188476887	-2.6898433061512	0.351597419503292	-7.65034996545535	2.00433071749813e-14	4.28756915009219e-12
Nav3	19.1227165771826	-3.88272882729733	0.51238211600969	-7.57779927514859	3.51465595009116e-14	7.39307879101676e-12
Ppm1l	5.00668779111209	-1.40738180108165	0.186026324578001	-7.56549807815794	3.86381229880011e-14	7.99429098740264e-12
Gabrg3	4.09272539138677	-4.90789450970136	0.650354123235741	-7.54649556964882	4.47126283114833e-14	9.10190454708436e-12
Tenm4	5.75414655384963	-2.14971637859275	0.286805761474001	-7.49537375938531	6.61097062681937e-14	1.32439778223948e-11
Oxr1	18.5517328601495	-2.31944699728834	0.310008964506618	-7.48187072906023	7.32720032879154e-14	1.44494680233872e-11
Robo1	4.07706351271228	-4.16120620784989	0.558374530514997	-7.45235676135147	9.16873816954582e-14	1.7802868375052e-11
Lrrc4c	52.2795654572474	-1.93993140332668	0.260828836908238	-7.43756490394949	1.02558198672931e-13	1.96119246280464e-11
Gria3	12.2301631522773	1.85835566836321	0.250815350385069	7.40925810764826	1.27007905263353e-13	2.3924877198937e-11
Sema5a	2.69825385653193	-6.92849204139605	0.944599617066206	-7.33484527859007	2.21977776654887e-13	4.11997282229608e-11
Synpr	3.40987051084383	-3.16797393694933	0.433224616288601	-7.31254369636031	2.62131993335984e-13	4.7947360694108e-11
Ptprt	9.27557521126525	-2.9850970618188	0.41087267002804	-7.26526069892915	3.72319504834956e-13	6.71292067217426e-11
Meg3	95.5874933191755	-0.830101322053148	0.114744610487423	-7.23433822753822	4.67804590086491e-13	8.31572074856565e-11
Mir124.2hg	1.78207324963598	-4.51699006672202	0.625287312890947	-7.22386329228114	5.05310573948641e-13	8.85767326917472e-11
Thrb	6.5503612475974	-1.94281927038942	0.269644030586889	-7.20512620346465	5.79901143180646e-13	1.0025934696004e-10
Kcnq5	5.12416878906667	-3.41531876538106	0.477891171208776	-7.14664545223207	8.89241593354353e-13	1.51663758780071e-10
Hs3st5	2.27016904001649	-4.5168670251977	0.63657194407404	-7.09561121448409	1.28781042940005e-12	2.16712739059441e-10
Trpm3	63.5206155255148	2.90383125425989	0.409523530711622	7.09075556467771	1.33381753453146e-12	2.2150146188581e-10
Plxna4	6.91537150276689	3.01164417458031	0.424849722631501	7.08872811761842	1.35350133348386e-12	2.21851173115582e-10
Bach2	5.83836940485366	-2.52209446725305	0.355886294744923	-7.08679852102969	1.37249971754383e-12	2.22081011988726e-10
Grip1	6.22826716251876	-2.86531848221841	0.409074074980669	-7.00440007681692	2.48046376589691e-12	3.91324164867312e-10
Edil3	10.1839225443011	-3.3403948997651	0.476877985183896	-7.00471609834738	2.47487159240874e-12	3.91324164867312e-10
Gpc6	15.7425747331077	-2.74385653042229	0.393025043616403	-6.98137834977337	2.92297947436939e-12	4.55443505506371e-10
Nebl	13.6712366943264	-1.87444275639921	0.269267691067489	-6.96126129714316	3.37239596661019e-12	5.13672592828502e-10
Elavl2	5.17553899256188	-2.91748451539739	0.419117156566638	-6.96102383232676	3.37808614252165e-12	5.13672592828502e-10
Sptb	1.75135082343866	-4.60781566778699	0.662595720119084	-6.95418869738377	3.54596720918925e-12	5.32781573180684e-10
Gprin3	1.16094974209138	-5.37097383891852	0.774537528996499	-6.93442685195284	4.07871381503070e-12	6.05617024229441e-10
Sorcs2	1.13876960154197	-5.36580397651337	0.774142965836854	-6.93128299720827	4.17040810563006e-12	6.12031636059964e-10
Grin2b	6.97820168928022	-1.65311707881336	0.239445697345322	-6.90393311360813	5.05821232357159e-12	7.10294309435916e-10
Cacna1d	16.5328717953053	1.39037174324009	0.201432065858388	6.90243500862247	5.11186117186194e-12	7.10294309435916e-10
Nrg3	27.5895975413992	-1.93758172615008	0.280591489671887	-6.90534744448525	5.00807019708536e-12	7.10294309435916e-10
Shisa6	6.28481698679372	3.88530116320828	0.56290999991143	6.90217115314988	5.12136773303767e-12	7.10294309435916e-10
Angpt1	2.7173718025739	-3.7374894718084	0.54110440634988	-6.90715031692372	4.94485906170189e-12	7.10294309435916e-10
Dock10	8.88878293921338	-4.07804372624978	0.593270301126557	-6.873837639447	6.24973370059776e-12	8.57368359078743e-10
Khdrbs3	2.85316013541051	-4.05026192427151	0.591514481073755	-6.84727433370559	7.52702928884539e-12	1.02149071671524e-09
Atrnl1	6.7085536331202	-1.77335860108131	0.259617677964578	-6.83065427202251	8.45282226025689e-12	1.13492627390109e-09
Litaf	2.24351669952142	-5.46908177869022	0.801202383874643	-6.82609274356068	8.72585308386455e-12	1.15925254496268e-09
Galnt18	3.3588618166277	4.31064126038852	0.634593684275053	6.79275789722506	1.10009911699155e-11	1.44628655786983e-09
Grm8	9.31054759807166	3.80442742120863	0.561215352708288	6.77890831540761	1.21087335422386e-11	1.57550851584116e-09
Sorcs3	6.8896377289146	4.70330699807812	0.699834076301271	6.72060300769549	1.80974043296892e-11	2.3306871433164e-09
Ptprg	15.3474635845709	-1.52871578547385	0.228003308188555	-6.70479651202967	2.01687221956098e-11	2.57120649324031e-09
Sgsm1	0.776712728025579	-4.34793971578048	0.652456413379445	-6.66395429122999	2.66556398575999e-11	3.36420830642768e-09
Plcxd3	6.01341518320763	-1.73666395191115	0.260714024713328	-6.66118347035885	2.71631289497452e-11	3.39431535123499e-09
Msra	6.66523249557235	-1.76763454892	0.265817132488374	-6.64981422518846	2.93463189629866e-11	3.63117540815543e-09
Csmd3	23.3634292784506	-2.61387116351013	0.393352188313919	-6.64511661855585	3.02977092345498e-11	3.7124989150413e-09
Ppm1e	5.86108842140436	-2.29057935038677	0.345276683219382	-6.63404006615582	3.26621107189643e-11	3.96373557100047e-09
Il1rapl1	26.4346032092261	2.62982432437449	0.397702952638964	6.61253407077884	3.77796125616987e-11	4.54110942991618e-09
Tbc1d16	2.13148131769792	-2.77568338489638	0.42076096989059	-6.59681763167849	4.20076959542558e-11	5.00168991168549e-09
Magi3	3.54998982103696	-2.22843888407647	0.339602219428433	-6.5619090706387	5.31232085783545e-11	6.26605621932161e-09
P3h2	1.4837026228044	-5.84518090553064	0.898648159863173	-6.50441537255317	7.7996109300445e-11	9.11471199519367e-09
Tanc2	13.9576633022715	-2.04632849481655	0.31727710031314	-6.4496570751463	1.12103519255751e-10	1.29803533626315e-08
Olfm1	1.84757289463583	-3.79178256682185	0.588276213432012	-6.44558199064439	1.15157650619709e-10	1.32127700770123e-08
A230006K03Rik	1.46208421643162	-4.7306756201244	0.738247298820705	-6.40798229493193	1.47458027512386e-10	1.67663762633678e-08
Tanc1	4.19494878427357	-3.4157739915579	0.535483237562709	-6.37886258980774	1.78408019383834e-10	2.01043536843158e-08
