baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ptprz1	21.3770919949032	9.37383588611487	0.461416563436064	20.315343290475	9.40899159457726e-92	3.83060006282259e-89
Kcnn2	7.18002328657325	4.13258131333922	0.205427051573739	20.1170258818411	5.23558936460503e-90	2.06882773863143e-87
Eps15	4.02206971471667	4.55590906019718	0.226816972790896	20.086279276804	9.72849365548561e-90	3.73435177889855e-87
Lsamp	183.506773303052	3.93866013374119	0.196614065911616	20.0324433324712	2.8721454419528e-89	1.07186872257322e-86
Ptch1	2.65050810480285	4.76604771495668	0.239289262462169	19.9175160051747	2.86873256973255e-88	1.0416600560637e-85
Nav2	17.1248992811375	5.25721921422454	0.26642739230098	19.7322774089442	1.1392076959495e-86	4.02769878817936e-84
Fnbp1	14.8649273687189	7.54586648515005	0.384046760570177	19.6483013525411	5.97801754905507e-86	2.05935040439884e-83
Nebl	13.6712366943264	7.85783237379233	0.400936072433054	19.598716389143	1.58573613008774e-85	5.32609122693219e-83
Enah	5.14003612734681	5.93953129564991	0.303444364321492	19.5737077171653	2.59125980004819e-85	8.49111595454816e-83
Zhx3	4.94939845602271	3.94344488493303	0.201598682537139	19.5608663474602	3.33365005654369e-85	1.06637115499201e-82
Glud1	4.69185371726019	4.25184150698556	0.219181447028913	19.3987290649865	7.91028876161521e-84	2.47150533749536e-81
Ttyh1	3.67002824899419	3.71278377449773	0.191902741728402	19.3472158920606	2.15154785366399e-83	6.56955577590358e-81
Fat3	8.95312136953441	5.84381846123018	0.303674647606658	19.2436823662657	1.59466800522318e-82	4.76096992226075e-80
Pde4b	24.3560315871837	6.64908010611629	0.346000220732363	19.2169822667815	2.66845160458061e-82	7.79361897990012e-80
Sept4	6.18214695594947	4.32269678267726	0.226842249686595	19.0559597634457	5.86313764401814e-81	1.67598413292306e-78
Bmpr1a	3.5035907004123	3.28040847055354	0.172972908451343	18.9648685445809	3.32858436216215e-80	9.31656893867677e-78
Sorbs1	4.26193863283406	4.35258842265525	0.229848136986929	18.9368009665563	5.67416870237186e-80	1.55576441870135e-77
Nhsl1	6.3318678446144	9.23106634750226	0.492455160640859	18.7449885497988	2.1271766841716e-78	5.71572375036908e-76
Neo1	4.34229358132015	3.93752105282964	0.210393030643302	18.7150735972109	3.73105777300247e-78	9.82877670201728e-76
Chl1	4.2905987887464	5.26303270287614	0.282036007296937	18.6608538155025	1.03071108655182e-77	2.66300066304302e-75
