sep=;
"Cluster";"Purkinje";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"SF3A66";"SF3A66";"GO:0000323";"lytic vacuole";"79/2680";"460/23271";0.000180124484046386;0.00528593466393279;0.00400832801107271;"Abcb9/Acp4/Apoe/Aqp2/Arsa/Atp6v0d1/Atraid/Borcs6/Borcs8/Capn1/Ccz1/Cd68/Chid1/Clcn7/Cln3/Ctsa/Ctsf/Ctsw/Dnase2a/Doc2a/Dpp7/Ftl1/Gabarap/Galns/Gba/Gfap/Gpr137/Grn/H2-Aa/H2-DMa/H2-DMb1/H2-DMb2/H2-Eb1/H2-Ob/Hgs/Hps6/Hsp90ab1/Hyal1/Hyal2/Hyal3/Ifi30/Ifitm3/Il4i1/Kxd1/Lamtor1/Lamtor2/Man2b1/Mpo/Napsa/Nbr1/Neu1/Nppa/Nprl2/P2ry2/Plekhm1/Ppt2/Prss57/Prtn3/Rab3a/Rptor/Slc2a6/Slc30a3/Sphk2/Sppl2b/Syt7/Szt2/Tcirg1/Tecpr1/Tm4sf5/Tmem150b/Tmem97/Tpsab1/Tsc2/Unc13d/Unc93b1/Vps33b/Vps35/Wdr24/Wdr45b";79
"SF3A66";"SF3A66";"GO:0005764";"lysosome";"79/2680";"460/23271";0.000180124484046386;0.00528593466393279;0.00400832801107271;"Abcb9/Acp4/Apoe/Aqp2/Arsa/Atp6v0d1/Atraid/Borcs6/Borcs8/Capn1/Ccz1/Cd68/Chid1/Clcn7/Cln3/Ctsa/Ctsf/Ctsw/Dnase2a/Doc2a/Dpp7/Ftl1/Gabarap/Galns/Gba/Gfap/Gpr137/Grn/H2-Aa/H2-DMa/H2-DMb1/H2-DMb2/H2-Eb1/H2-Ob/Hgs/Hps6/Hsp90ab1/Hyal1/Hyal2/Hyal3/Ifi30/Ifitm3/Il4i1/Kxd1/Lamtor1/Lamtor2/Man2b1/Mpo/Napsa/Nbr1/Neu1/Nppa/Nprl2/P2ry2/Plekhm1/Ppt2/Prss57/Prtn3/Rab3a/Rptor/Slc2a6/Slc30a3/Sphk2/Sppl2b/Syt7/Szt2/Tcirg1/Tecpr1/Tm4sf5/Tmem150b/Tmem97/Tpsab1/Tsc2/Unc13d/Unc93b1/Vps33b/Vps35/Wdr24/Wdr45b";79
"SF3A66";"SF3A66";"GO:0005938";"cell cortex";"57/2680";"307/23271";0.000182022543523856;0.00528593466393279;0.00400832801107271;"Actb/Actn4/Actr1a/Agtrap/Akt2/Axin1/Bsn/Capzb/Cfl1/Coro1a/Daxx/Dlg4/Drd4/Dvl2/Dync1h1/Eno2/Exoc3l/Exoc3l2/Exoc3l4/Exoc7/Flot1/Flot2/Gpsm1/Hip1r/Iqgap1/Itgb4/Lasp1/Llgl1/Llgl2/Map2k2/Mark2/Misp/Myo1a/Myo1f/Myo9b/Numa1/Ocm/Pard6a/Pfn1/Ppfia3/Rac1/Rac3/Rhoa/Rhod/Rhof/Rnd1/Rnd2/Ryr1/Sapcd2/Slc4a1/Sptan1/Sptbn2/Tle6/Tnfaip2/Tpm3/Tsc1/Unc13a";57
"SF3A66";"SF3A66";"GO:0031252";"cell leading edge";"69/2680";"395/23271";0.000271809077109753;0.00741963663383831;0.00562631573074879;"Abca7/Actb/Aif1/Akt2/Apc2/Arhgap1/Atn1/Avil/Capzb/Carmil2/Cdc42bpg/Cdk5/Cfl1/Cib1/Coro1a/Coro1b/Cyth2/Cyth3/Dag1/Dagla/Dgkz/Dpp9/Eps8l2/Fam89b/Flot1/Flot2/Fscn1/Gbf1/Grin1/Hax1/Hcn2/Hip1r/Hsp90aa1/Inpp5e/Inpp5j/Inppl1/Iqgap1/Itgb4/Kcnc1/Kcnc3/Kcnj11/Ldb1/Lima1/Mapk8ip3/Mpp2/Mtmr14/Myo1a/Myo9b/P4hb/Palm/Pld2/Psd/Ptk6/Rab34/Rac1/Rhoa/Rinl/Ripor1/Scimp/Sh2b1/Shisa7/Slc12a5/Srcin1/Stx4a/Tln1/Tsc1/Tubb3/Tubg1/Vasp";69
"SF3A66";"SF3A66";"GO:0019005";"SCF ubiquitin ligase complex";"18/2680";"65/23271";0.000286156784776133;0.00741963663383831;0.00562631573074879;"Ccnf/Cks1brt/Fbxl15/Fbxl16/Fbxl18/Fbxl19/Fbxl20/Fbxl6/Fbxl8/Fbxo17/Fbxo2/Fbxo27/Fbxo44/Fbxo6/Lrrc29/Nccrp1/Spsb2/Spsb3";18
"SF3A66";"SF3A66";"GO:0046658";"anchored component of plasma membrane";"20/2680";"77/23271";0.000344246632961832;0.00861803639759621;0.00653506312301409;"Abhd17a/Art2b/Cd177/Dlg4/Efna1/Flot2/Folr1/Folr2/Gp1ba/Hyal2/Igsf21/Lypd10/Lypd11/Lypd4/Mpp2/Nrn1l/Ntng2/Prss8/Rtbdn/Tex101";20
"SF3A66";"SF3A66";"GO:0019898";"extrinsic component of membrane";"57/2680";"320/23271";0.000540802147686085;0.0126652373941967;0.00960405851408565;"Alox15/Alox8/Apc2/Apoe/Arsa/Art2b/Aspscr1/Atg13/Atg2a/Becn1/Bsn/Cdh15/Cdh22/Cyth2/Cyth3/Dlg4/Doc2a/Epn3/Esyt1/Fes/Gba2/Gm5741/Gna11/Gna15/Gnai2/Gnat1/Gnb3/Gng13/Gng7/Inpp5j/Iqgap1/Nmt1/Nucb1/Numa1/Olfm1/Pik3r2/Plekha4/Prss8/Psd/Ptk6/Rac1/Racgap1/Rhoa/Rnf40/Rtbdn/Ryr1/Sarm1/Sgta/Shank3/Socs7/Srms/Stac2/Stac3/Tepsin/Tnk1/Wdr45b/Wipi2";57
"SF3A66";"SF3A66";"GO:0031234";"extrinsic component of cytoplasmic side of plasma membrane";"24/2680";"104/23271";0.000627210657805233;0.0139234617116621;0.0105581709079299;"Alox15/Cyth3/Dlg4/Esyt1/Fes/Gm5741/Gna11/Gna15/Gnai2/Gnat1/Gnb3/Gng13/Gng7/Iqgap1/Plekha4/Ptk6/Racgap1/Rhoa/Ryr1/Shank3/Srms/Stac2/Stac3/Tnk1";24
"SF3A66";"SF3A66";"GO:0005797";"Golgi medial cisterna";"9/2680";"23/23271";0.000632884623257366;0.0139234617116621;0.0105581709079299;"B3galt6/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7";9
"SF3A66";"SF3A66";"GO:0030139";"endocytic vesicle";"39/2680";"200/23271";0.000673681484365147;0.0143850811073264;0.0109082172236214;"Actg1/Ambra1/Amn/Ap2a1/Ap2a2/Ap2m1/Arrb2/Becn1/Calr/Cdc42ep2/Coro1a/Ehd1/Flot2/Fmnl1/Ftl1/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Hyal2/Kifc1/Lpar2/Myo18a/Rab11b/Rab11fip3/Rab34/Rabep1/Rapgef1/Scimp/Sphk1/Stx4a/Syt7/Tap1/Tapbp/Tcirg1/Unc93b1";39
