sep=;
"Cluster";"Bergmann";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"SF3A66";"SF3A66";"GO:0012506";"vesicle membrane";"64/2547";"363/23271";8.20120427399777e-05;0.00312509047072336;0.0023672174109434;"Abca3/Ap1g2/Ap1s1/Ap2a1/Ap2s1/Aqp5/Aspscr1/Atp13a2/Atp6v0a1/Atp6v1g2/Calm3/Cope/Copz2/Dbh/Dnajc5/Doc2a/Flot2/Grb2/Grin1/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Hyal3/Itpr3/Izumo1/Kdelr1/Kdelr3/Necap2/Pcsk4/Prrt1/Ptprs/Rab26/Rab3a/Rab5b/Rapgef1/Ryr1/Scyl1/Sec16a/Sgta/Slc17a7/Slc26a6/Slc2a4/Slc30a3/Slc5a6/Sycn/Syngr3/Syngr4/Syt11/Syt5/Tap1/Tapbp/Tepsin/Tmem184a/Tmem190/Tmem95/Traf2/Trim72/Vamp2/Vgf/Zg16";64
"SF3A66";"SF3A66";"GO:0005761";"mitochondrial ribosome";"23/2547";"92/23271";0.000110885617778218;0.00351370555115604;0.00266158853177129;"2810006K23Rik/Mpv17l2/Mrpl10/Mrpl11/Mrpl12/Mrpl14/Mrpl2/Mrpl28/Mrpl34/Mrpl38/Mrpl45/Mrpl48/Mrpl49/Mrpl52/Mrpl54/Mrpl58/Mrps12/Mrps18a/Mrps18b/Mrps2/Mrps34/Mrps7/Ndufa7";23
"SF3A66";"SF3A66";"GO:0008180";"COP9 signalosome";"12/2547";"34/23271";0.000156406078602998;0.00420038990700729;0.00318174344511602;"Cops6/Dynll1/Flot1/Gps1/Grb2/Hsp90ab1/Hspa1a/Hspa1b/Hspa1l/Myh9/Nckipsd/Wdr6";12
"SF3A66";"SF3A66";"GO:0030659";"cytoplasmic vesicle membrane";"59/2547";"337/23271";0.000184783088143562;0.00445943186053131;0.00337796452360688;"Abca3/Ap1g2/Ap1s1/Ap2a1/Ap2s1/Aqp5/Aspscr1/Atp6v0a1/Atp6v1g2/Calm3/Cope/Copz2/Dbh/Dnajc5/Doc2a/Flot2/Grin1/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Hyal3/Itpr3/Izumo1/Kdelr1/Kdelr3/Necap2/Pcsk4/Prrt1/Ptprs/Rab26/Rab3a/Rab5b/Rapgef1/Ryr1/Scyl1/Sec16a/Sgta/Slc17a7/Slc2a4/Slc30a3/Sycn/Syngr3/Syngr4/Syt11/Syt5/Tap1/Tapbp/Tepsin/Tmem184a/Tmem190/Tmem95/Trim72/Vamp2/Vgf/Zg16";59
"SF3A66";"SF3A66";"GO:0120114";"Sm-like protein family complex";"19/2547";"72/23271";0.000200368701897487;0.00467957871528325;0.003544723045453;"Cd2bp2/Ddx23/Ddx39b/Eftud2/Gemin4/Gemin7/Lsm2/Lsm4/Lsm7/Luc7l/Prpf31/Prpf40b/Prpf8/Sart1/Sf3a2/Sf3b2/Snrnp70/Snrpc/Snrpd2";19
"SF3A66";"SF3A66";"GO:0030055";"cell-substrate junction";"35/2547";"174/23271";0.000269368064507252;0.00590977208191668;0.00447657931764843;"Ajuba/Alkbh6/Alox8/Arl2/Armc5/Avil/Cfl1/Dag1/Efs/Epha2/Eppk1/Fermt3/Git1/Grb7/Itga2b/Itgb4/Lima1/Map2k2/Mapk3/Mdc1/Misp/Myh9/Neurl2/Nphs1/Pik3r2/Plec/Senp1/Slc6a4/Srp68/Tgfb1i1/Tns2/Tns4/Trip6/Trpv4/Vasp";35
"SF3A66";"SF3A66";"GO:0070971";"endoplasmic reticulum exit site";"11/2547";"32/23271";0.00038157115807059;0.00812522113067963;0.00615475459302717;"H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/Preb/Sec16a/Sec23ip";11
"SF3A66";"SF3A66";"GO:0001931";"uropod";"6/2547";"11/23271";0.000484363289766751;0.00974108393864245;0.00737875070083268;"Flot1/Flot2/Myh9/Scimp/Selplg/Spn";6
"SF3A66";"SF3A66";"GO:0031254";"cell trailing edge";"6/2547";"11/23271";0.000484363289766751;0.00974108393864245;0.00737875070083268;"Flot1/Flot2/Myh9/Scimp/Selplg/Spn";6
"SF3A66";"SF3A66";"GO:0098839";"postsynaptic density membrane";"22/2547";"97/23271";0.000670000445231196;0.0124379569832663;0.009421598703521;"Abhd17a/Cacng2/Cacng8/Cnih2/Dlg4/Efnb3/Grik5/Grin1/Grin2d/Grin3b/Hspb1/Lrfn1/Lrfn3/Lrfn4/Lrrc4b/Mpp2/Prrt1/Ptprs/Rnf10/Scn8a/Scrib/Slc16a3";22
"SF3A66";"SF3A66";"GO:0070603";"SWI/SNF superfamily-type complex";"18/2547";"73/23271";0.000710242243053501;0.0128553845992684;0.00973779496397037;"0610010K14Rik/Bicral/Chd3/Dpf1/Dpf2/Ino80e/Kat5/Mbd3/Mcrs1/Ruvbl2/Smarcc1/Smarcc2/Smarcd1/Smarce1/Srcap/Tfpt/Zbtb7a/Znhit1";18
"SF3A66";"SF3A66";"GO:0035097";"histone methyltransferase complex";"19/2547";"80/23271";0.000839838911442778;0.0148303261435261;0.0112337887769368;"0610010K14Rik/Ezh1/Kat8/Kdm4b/Kdm6b/Kmt2b/Kmt2d/Mcrs1/Men1/Pagr1a/Pelp1/Phf1/Prmt5/Prpf31/Ruvbl2/Senp3/Setd1a/Taf6/Zfp335";19
"SF3A66";"SF3A66";"GO:0019866";"organelle inner membrane";"76/2547";"489/23271";0.00105873092644049;0.0182505045414979;0.0138245316460024;"Acadvl/Ak2/Atp5b/Atp5d/Atp5h/Ccdc51/Coa3/Coq4/Coq5/Coq8b/Cox4i1/Cox6a1/Cox6a2/Cox6b1/Cox6b2/Cox7a1/Cyc1/Dhrs13/Dmac2/Dpy19l3/Eci1/Eral1/Fahd1/Gcat/Gpx4/Lemd2/Majin/Mdh2/Micos10/Micos13/Mpv17/Mpv17l2/Ndufa11/Ndufa3/Ndufa4l2/Ndufa7/Ndufaf3/Ndufb10/Ndufs7/Nrm/Oxa1l/P2rx4/P2rx7/Pcx/Pink1/Plscr3/Pmpca/Prodh2/Rdh13/Rhot2/Sdhb/Shmt2/Slc25a10/Slc25a11/Slc25a19/Slc25a20/Slc25a23/Slc25a25/Slc25a39/Slc25a41/Slc25a42/Slc25a45/Slc27a1/Sphk2/Stat3/Timm13/Timm50/Tm7sf2/Tmem256/Tomm40/Tufm/Ucp2/Ucp3/Uqcc2/Uqcr11/Uqcrc1";76
"SF3A66";"SF3A66";"GO:0016323";"basolateral plasma membrane";"45/2547";"259/23271";0.0011816187578928;0.0194429995616907;0.0147278318866543;"Abcc6/Ager/Ap2a1/Aqp2/Aqp5/Arrb2/C5ar1/C5ar2/Car11/Cd300lg/Clcnka/Cldn7/Dag1/Ddr1/Erbb2/Erbb3/Flot1/Flot2/Folr1/Gpihbp1/Grk2/Hsp90ab1/Hspa1a/Itgb4/Kcnj4/Lin7b/Lrp1/Myo1a/Palm/Pkd1/Plec/Scrib/Slc16a3/Slc1a5/Slc22a7/Slc26a10/Slc26a6/Slc27a1/Slc29a1/Slc29a2/Slc38a3/Slc39a5/Slc4a1/Slc7a8/Stx4a";45
"SF3A66";"SF3A66";"GO:0098798";"mitochondrial protein complex";"46/2547";"267/23271";0.0012559762497313;0.0202072623290102;0.0153067514879533;"2810006K23Rik/Atp5b/Atp5d/Atp5h/Bax/Bckdha/Bckdk/Cox4i1/Cox6a1/Cox6a2/Cyc1/Dmac2/Micos10/Micos13/Mpv17l2/Mrpl10/Mrpl11/Mrpl12/Mrpl14/Mrpl2/Mrpl28/Mrpl34/Mrpl38/Mrpl45/Mrpl48/Mrpl49/Mrpl52/Mrpl54/Mrpl58/Mrps12/Mrps18a/Mrps18b/Mrps2/Mrps34/Mrps7/Ndufa11/Ndufa3/Ndufa4l2/Ndufa7/Ndufb10/Ndufs7/Sdhb/Timm13/Timm50/Tomm40/Uqcrc1";46
"SF3A66";"SF3A66";"GO:0005684";"U2-type spliceosomal complex";"20/2547";"89/23271";0.001299568264653;0.0204540744262776;0.0154937086014694;"Casc3/Ccdc130/Cdc5l/Dhx16/Dhx8/Eftud2/Eif4a3/Lsm2/Lsm4/Lsm7/Luc7l/Prpf31/Prpf40b/Prpf8/Sart1/Sf3a2/Sf3b2/Snrnp70/Snrpd2/Yju2";20
"SF3A66";"SF3A66";"GO:1904949";"ATPase complex";"18/2547";"78/23271";0.00161505756653791;0.0238632995545602;0.0180761545041086;"0610010K14Rik/Bicral/Chd3/Dpf1/Dpf2/Ino80e/Kat5/Mbd3/Mcrs1/Ruvbl2/Smarcc1/Smarcc2/Smarcd1/Smarce1/Srcap/Tfpt/Zbtb7a/Znhit1";18
"SF3A66";"SF3A66";"GO:0000323";"lytic vacuole";"71/2547";"460/23271";0.00181768623529271;0.0253077852759985;0.0191703345867915;"Abca2/Acp4/Ankrd27/Apoe/Aqp2/Arsa/Atp13a2/Atraid/Bbc3/Borcs6/Capn1/Cd68/Clcn7/Cln3/Ctsa/Ctsf/Ctsw/Doc2a/Dpp7/Ftl1/Gaa/Gabarap/Gfap/Gpr137/Grn/H2-Aa/H2-DMa/H2-DMb1/H2-DMb2/H2-Eb1/H2-Ob/Hap1/Hgs/Hsp90ab1/Hyal1/Hyal2/Hyal3/Ifi30/Il4i1/Kptn/Lamtor1/Man2b1/Napsa/Nbr1/Neu1/Nprl2/Pla2g5/Pld3/Plekhm1/Ppt2/Prtn3/Rab3a/Rilp/Rptor/Sgsh/Shkbp1/Slc11a2/Slc26a11/Slc2a6/Slc30a3/Sphk2/Sppl2b/Syt11/Tm4sf5/Tmem150b/Tpsab1/Tsc2/Ubxn6/Unc13d/Wdr24/Wdr81";71
"SF3A66";"SF3A66";"GO:0005764";"lysosome";"71/2547";"460/23271";0.00181768623529271;0.0253077852759985;0.0191703345867915;"Abca2/Acp4/Ankrd27/Apoe/Aqp2/Arsa/Atp13a2/Atraid/Bbc3/Borcs6/Capn1/Cd68/Clcn7/Cln3/Ctsa/Ctsf/Ctsw/Doc2a/Dpp7/Ftl1/Gaa/Gabarap/Gfap/Gpr137/Grn/H2-Aa/H2-DMa/H2-DMb1/H2-DMb2/H2-Eb1/H2-Ob/Hap1/Hgs/Hsp90ab1/Hyal1/Hyal2/Hyal3/Ifi30/Il4i1/Kptn/Lamtor1/Man2b1/Napsa/Nbr1/Neu1/Nprl2/Pla2g5/Pld3/Plekhm1/Ppt2/Prtn3/Rab3a/Rilp/Rptor/Sgsh/Shkbp1/Slc11a2/Slc26a11/Slc2a6/Slc30a3/Sphk2/Sppl2b/Syt11/Tm4sf5/Tmem150b/Tpsab1/Tsc2/Ubxn6/Unc13d/Wdr24/Wdr81";71
"SF3A66";"SF3A66";"GO:0034708";"methyltransferase complex";"22/2547";"105/23271";0.00201102378732086;0.0274713438117038;0.0208092034398047;"0610010K14Rik/Ezh1/Kat8/Kdm4b/Kdm6b/Kmt2b/Kmt2d/Mcrs1/Men1/Mettl1/Pagr1a/Pelp1/Phf1/Prmt1/Prmt5/Prpf31/Ruvbl2/Senp3/Setd1a/Snrpd2/Taf6/Zfp335";22
"SF3A66";"SF3A66";"GO:0005797";"Golgi medial cisterna";"8/2547";"23/23271";0.00219800523792882;0.028933741677463;0.0219169517504482;"H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7";8
"SF3A66";"SF3A66";"GO:0000791";"euchromatin";"13/2547";"50/23271";0.00226383382637525;0.0292681373267086;0.0221702523222088;"Cbx2/H1f0/Hsf1/Myod1/Nsmf/Polr2a/Rrp1b/Ruvbl2/Setd1a/Tcf23/Tcf3/Uhrf1/Vdr";13
"SF3A66";"SF3A66";"GO:0097228";"sperm principal piece";"10/2547";"34/23271";0.00267731175520501;0.0340065563292706;0.0257595461581128;"Catsperd/Catsperg1/Catsperg2/Catsperz/Gapdhs/Ift172/Ift27/Ift81/Pfkm/Tekt4";10
"SF3A66";"SF3A66";"GO:1990351";"transporter complex";"51/2547";"319/23271";0.00365043584002413;0.0435755465521906;0.0330079379960618;"Atp1a3/Atp1b2/Best2/Cacna1a/Cacna1h/Cacna2d2/Cacnb1/Cacnb3/Cacng2/Cacng6/Cacng8/Calm3/Catsper1/Catsperd/Catsperg1/Catsperg2/Catsperz/Ccdc51/Chrnb1/Chrne/Clcnka/Clic1/Clic3/Cnih2/Cpt1c/Dlg4/Gabrd/Grik5/Grin1/Grin2d/Grin3b/Kcna7/Kcnab3/Kcnc1/Kcnc3/Kcnk4/Lrrc26/Lrrc8a/Pkd1/Ryr1/Scn1b/Scn8a/Scrib/Shank1/Shank3/Slc26a6/Stac3/Timm13/Trpm4/Ttyh1/Vamp2";51
