sep=;
"Cluster";"MLI2.PLI";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"SF3A66";"SF3A66";"GO:0012506";"vesicle membrane";"58/2516";"363/23271";0.00156473605854741;0.0367002387397873;0.0288529803136898;"Abca3/Ap1s1/Ap2a1/Aqp5/Arcn1/Aspscr1/Atp13a2/Atp6v0a1/Atp6v1b1/Atp6v1g2/Bsg/Dbh/Doc2a/Enthd1/Flot2/Grin1/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Izumo1/Kdelr1/Kdelr3/Necap2/Nos1/Pcsk4/Prrt1/Ptprs/Rab26/Rab3a/Rapgef1/Rph3al/Ryr1/Scyl1/Sec16a/Sgta/Slc17a7/Slc2a4/Sycn/Syngr1/Syngr3/Syngr4/Syt11/Syt5/Tap1/Tapbp/Tepsin/Tmem95/Tor1a/Traf2/Trim72/Unc13a/Vamp2/Vgf/Zg16";58
"SF3A66";"SF3A66";"GO:0045335";"phagocytic vesicle";"23/2516";"111/23271";0.0015997477473356;0.0367002387397873;0.0288529803136898;"Actg1/Becn1/Calr/Cdc42ep2/Coro1a/Fmnl1/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Myo18a/Pla2g5/Rab34/Rapgef1/Scimp/Stx4a/Stxbp1/Syt11/Tap1/Tapbp";23
"SF3A66";"SF3A66";"GO:0005761";"mitochondrial ribosome";"20/2516";"92/23271";0.00171656135895671;0.0367002387397873;0.0288529803136898;"Dap3/Mief1/Mpv17l2/Mrpl10/Mrpl11/Mrpl12/Mrpl2/Mrpl20/Mrpl24/Mrpl28/Mrpl34/Mrpl45/Mrpl49/Mrpl54/Mrps12/Mrps2/Mrps21/Mrps34/Mtg1/Ndufa7";20
"SF3A66";"SF3A66";"GO:0034708";"methyltransferase complex";"22/2516";"105/23271";0.00172084429171777;0.0367002387397873;0.0288529803136898;"0610010K14Rik/Epop/Ezh1/Kat8/Kdm4b/Kdm6b/Kmt2b/Kmt2d/Mcrs1/Men1/Pagr1a/Pelp1/Phf1/Phf20/Prmt1/Prpf31/Ruvbl2/Senp3/Setd1a/Setd1b/Snrpd2/Zfp335";22
"SF3A66";"SF3A66";"GO:0070160";"tight junction";"28/2516";"146/23271";0.00185033939052977;0.0373208290623552;0.0293408757872553;"Actb/Arhgef2/Ash1l/Cgn/Cldn13/Cldn3/Cldn4/Cldn5/Cldn7/Cntnap1/Cyth1/Cyth2/Eppk1/Lin7b/Mapk15/Micall2/Mxra8/Pard6a/Plxdc1/Sapcd2/Sipa1l3/Sympk/Tbcd/Tjap1/Tjp3/Traf4/Vasp/Wnk4";28
"SF3A66";"SF3A66";"GO:0005639";"integral component of nuclear inner membrane";"6/2516";"14/23271";0.00220887049911037;0.0387360460697648;0.0304534905782354;"Lemd2/Majin/P2rx4/P2rx7/Sun2/Tmem201";6
"SF3A66";"SF3A66";"GO:0005665";"RNA polymerase II, core complex";"6/2516";"14/23271";0.00220887049911037;0.0387360460697648;0.0304534905782354;"Polr2a/Polr2e/Polr2f/Polr2i/Polr2j/Zfp768";6
"SF3A66";"SF3A66";"GO:0031229";"intrinsic component of nuclear inner membrane";"6/2516";"14/23271";0.00220887049911037;0.0387360460697648;0.0304534905782354;"Lemd2/Majin/P2rx4/P2rx7/Sun2/Tmem201";6
"SF3A66";"SF3A66";"GO:0017053";"transcription repressor complex";"17/2516";"76/23271";0.0026831341208712;0.0429797587895267;0.0337898110972489;"Chd3/Ctbp1/Drap1/Elane/Gps2/H1f0/Hdac5/Hdgf/Lin37/Mbd3/Phf12/Pou5f1/Prdm16/Relb/Ski/Ywhab/Zbtb7a";17
"SF3A66";"SF3A66";"GO:0005891";"voltage-gated calcium channel complex";"11/2516";"40/23271";0.00272516529759956;0.0429797587895267;0.0337898110972489;"Cacna1a/Cacna1h/Cacnb3/Cacng2/Cacng6/Cacng7/Cacng8/Catsper1/Catsperg1/Catsperg2/Catsperz";11
"SF3A66";"SF3A66";"GO:0005684";"U2-type spliceosomal complex";"19/2516";"89/23271";0.00274974812839809;0.0429797587895267;0.0337898110972489;"Ccdc130/Cwc25/Dhx8/Eftud2/Eif4a3/Lsm2/Lsm4/Lsm7/Luc7l/Prpf3/Prpf31/Prpf40b/Sart1/Sf3a2/Sf3b2/Snip1/Snrnp70/Snrpd2/Tfip11";19
"SF3A66";"SF3A66";"GO:0043296";"apical junction complex";"29/2516";"158/23271";0.00306732138067463;0.0469234909086183;0.0368902929769827;"Actb/Actg1/Arhgef2/Ash1l/Cgn/Cldn13/Cldn3/Cldn4/Cldn5/Cldn7/Cntnap1/Cyth1/Cyth2/Eppk1/Lin7b/Mapk15/Micall2/Mxra8/Nectin2/Pard6a/Plxdc1/Sapcd2/Sympk/Tbcd/Tjap1/Tjp3/Traf4/Vasp/Wnk4";29
"SF3A66";"SF3A66";"GO:0031984";"organelle subcompartment";"51/2516";"321/23271";0.00324576262577602;0.0478668997387782;0.0376319817871663;"Ap1m2/Ap1s1/Ap3d1/Aqp2/Arfgef2/Arl5c/Atl3/Atp8b2/B3galt6/B4galnt4/Baiap3/Becn1/Bet1l/Cby1/Clip3/Cln3/Fut7/Gba/Gbf1/Golga2/Grn/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/Kpnb1/Myo18a/Nucb1/Pcsk4/Plekhj1/Rab34/Rnf41/Rtn2/Ryr1/Scamp3/Scamp4/Slc11a2/Slc2a4/Stx4a/Syt11/Tepsin/Tjap1/Tmem201/Tmem79/Trappc6a/Vamp2/Vps51";51
