sep=;
"Cluster";"MLI1";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"SF3A66";"SF3A66";"GO:0005874";"microtubule";"75/2597";"430/23271";5.84173446208766e-05;0.00223215748393455;0.00168617376994331;"Apc2/Apoe/Arhgef2/Atat1/Aurkb/Axin1/Baiap2/BC024139/Camsap1/Cct3/Cdk2ap2/Cdk5rap3/Clip1/Clip3/Cnp/Csnk1d/Daxx/Dctn2/Dcxr/Dnah2/Dnm1/Dpp9/Dvl1/Dync1h1/Dynll1/Eml2/Enkd1/Fsd1/Gabarap/Gas8/Golga2/Gsk3a/Haus5/Hook2/Iqgap1/Kcnab2/Kif17/Kif18b/Kif1c/Kif22/Kif5a/Kifc1/Kifc2/Kifc5b/Klc2/Klc3/Klc4/Kntc1/Map2k2/Map3k11/Misp/Nckap5l/Ndel1/Odf2/Odf3l2/Pbxip1/Ranbp10/Rcc2/Rusc1/Saa1/Saa2/Sirt2/Slc8a2/Spag5/Tbcb/Tpgs1/Ttll10/Tuba1a/Tuba1b/Tuba1c/Tubb3/Tubb4b/Tubb5/Tubg1/Tubg2";75
"SF3A66";"SF3A66";"GO:0045335";"phagocytic vesicle";"27/2597";"111/23271";6.88649716118464e-05;0.0023807604471524;0.00179842858194346;"Actg1/Becn1/Calr/Cdc42ep2/Coro1a/Fmnl1/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Mtor/Myo18a/Pla2g5/Rab11b/Rab34/Rapgef1/Scimp/Stx4a/Stxbp1/Syt11/Tap1/Tapbp/Tcirg1/Unc93b1";27
"SF3A66";"SF3A66";"GO:0012506";"vesicle membrane";"65/2597";"363/23271";8.01826244002547e-05;0.00254046477545402;0.00191906937510735;"Abca3/Abcc8/Ap1s1/Ap2a1/Ap2s1/Aqp5/Aspscr1/Atp13a2/Atp2a2/Atp6v0a1/Atp6v1g2/Baiap2l2/Bsg/Cope/Copz2/Dbh/Doc2a/Flot2/Gosr2/Grb2/Grin1/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Itpr3/Izumo1/Kdelr1/Necap2/Pcsk4/Prrt1/Ptprs/Rab11b/Rab26/Rab4b/Rab5b/Rapgef1/Ryr1/Scyl1/Sec16a/Sgta/Slc17a7/Slc2a4/Sv2a/Sycn/Syngr3/Syngr4/Syt11/Syt5/Tap1/Tapbp/Tcirg1/Tepsin/Tmem184a/Tmem95/Tor1a/Traf2/Trim72/Unc13a/Vamp2/Vgf/Zg16";65
"SF3A66";"SF3A66";"GO:0005759";"mitochondrial matrix";"52/2597";"273/23271";8.04830438504716e-05;0.00254046477545402;0.00191906937510735;"Acads/Acadvl/Aldh2/Atad3a/Atp5b/Bckdha/Bckdk/Brca1/Coasy/Coq5/Cs/Dap3/Eral1/Fdps/H2-Ke6/Hagh/Hspa1b/Lonp1/Mrpl10/Mrpl11/Mrpl12/Mrpl14/Mrpl2/Mrpl20/Mrpl24/Mrpl28/Mrpl34/Mrpl38/Mrpl45/Mrpl49/Mrpl54/Mrpl58/Mrps12/Mrps18a/Mrps18b/Mrps2/Mrps21/Mrps34/Mrps7/Nags/Ndufa7/Nudt1/Park7/Polrmt/Pptc7/Sardh/Shmt2/Sirt4/Top1mt/Trp53/Tufm/Uqcc2";52
"SF3A66";"SF3A66";"GO:0031234";"extrinsic component of cytoplasmic side of plasma membrane";"25/2597";"104/23271";0.000153876138757161;0.00398978845491782;0.00301388978543161;"Alox15/Atp2a2/Cyth1/Dlg4/Errfi1/Esyt1/Gm5741/Gna11/Gna15/Gnai2/Gnat1/Gnb1/Gng13/Gng7/Iqgap1/Kcnab2/Plekha4/Ptk6/Racgap1/Ryr1/Shank3/Srms/Stac2/Stac3/Tnk1";25
"SF3A66";"SF3A66";"GO:0098798";"mitochondrial protein complex";"50/2597";"267/23271";0.000168348173984368;0.00419342287835732;0.00316771541195326;"Afg3l1/Atp5b/Atp5d/Atp5g2/Atp5h/Bax/Bckdha/Bckdk/Cox6a1/Cox6a2/Cyc1/Dap3/Dmac2/Micos10/Micos13/Mrpl10/Mrpl11/Mrpl12/Mrpl14/Mrpl2/Mrpl20/Mrpl24/Mrpl28/Mrpl34/Mrpl38/Mrpl45/Mrpl49/Mrpl54/Mrpl58/Mrps12/Mrps18a/Mrps18b/Mrps2/Mrps21/Mrps34/Mrps7/Ndufa11/Ndufa13/Ndufa3/Ndufa4l2/Ndufa7/Ndufb10/Ndufs7/Ndufs8/Ndufv1/Polrmt/Sdhb/Timm13/Timm50/Tomm40";50
"SF3A66";"SF3A66";"GO:1990777";"lipoprotein particle";"12/2597";"34/23271";0.000188389438539294;0.00427408538686023;0.00322864794338724;"Apobr/Apoc1/Apoc2/Apoc4/Apoe/Apof/Apom/Pltp/Saa1/Saa2/Saa3/Saa4";12
"SF3A66";"SF3A66";"GO:0120114";"Sm-like protein family complex";"19/2597";"72/23271";0.000257888624836994;0.00567354974641388;0.00428580457863075;"Cd2bp2/Ddx23/Ddx39b/Eftud2/Gemin7/Lsm2/Lsm7/Luc7l/Prpf3/Prpf31/Prpf40b/Prpf6/Sart1/Sf3a2/Sf3b2/Snrnp70/Snrpa/Snrpc/Snrpd2";19
"SF3A66";"SF3A66";"GO:0098839";"postsynaptic density membrane";"23/2597";"97/23271";0.000343127620695398;0.0073123332094056;0.00552374307974527;"Abhd17a/Arc/Cacng7/Cacng8/Cnih2/Dlg4/Efnb3/Grik5/Grin1/Grin2d/Grin3b/Lrfn1/Lrfn3/Lrfn4/Lrrc4b/Mpp2/Pacsin1/Prrt1/Ptprs/Rnf10/Scn8a/Scrib/Slc16a3";23
"SF3A66";"SF3A66";"GO:0097060";"synaptic membrane";"77/2597";"470/23271";0.000361680553435045;0.0073123332094056;0.00552374307974527;"Abhd17a/Acp4/Adgrb1/Adgrl1/Aph1a/Arc/Arrb2/Atp1a3/Baiap2/Bsn/Cacna1a/Cacna1h/Cacng7/Cacng8/Cfl1/Chrna4/Chrnb1/Chrne/Cnih2/Cntnap1/Cyth1/Cyth2/Ddn/Dlg4/Dnm1/Efnb3/Erbb2/Erbb3/Faim2/Flot2/Fosl1/Gabrd/Grik5/Grin1/Grin2d/Grin3b/Hip1r/Igsf21/Kcnc1/Kcnc3/Lin7b/Lpar2/Lrfn1/Lrfn3/Lrfn4/Lrrc4b/Mpp2/Ndufs7/Nlgn2/Nrxn2/Ntng2/Pacsin1/Palm/Pick1/Pip5k1c/Prkcg/Prrt1/Prrt2/Psenen/Ptprs/Rnf10/Scn8a/Scrib/Shank1/Shank3/Slc16a3/Slc4a8/Slc6a4/Slc8a2/Stx1b/Stx4a/Stxbp1/Syt11/Syt3/Tmem240/Unc13a/Usp48";77
