paint name,start,ATRX,H4K8ac,HDAC2,H3K9ac,H3K9me3,H3K9me2,RNAPIISer2-P,H3,H3K36me2,UBTF,LaminB1,RNAPIISer5-P,RYBP,HP1beta,RING1B,H2A.X,H3K4me1,H4K20me2,H3K27me2,JARID2,SF3A66,CBP,H2AK119u1,EZH2,H3K4me2,BRG1,HP1alpha,Fibrillarin,KAP1,H3K27ac,H3K4me3,H3K36ac,H3K14ac,H4K20me1,HP1gamma,H4K20me3,H3K27me3,mH2A1,CHD4,KAT3B/p300,H3K56ac,H3K36me3,SUZ12,H4K16ac,HDAC1,SOX2,BRD4,CPSF6,rDNA,Telomere,MinSat,MajSat,Malat1_RNA,ITS1_RNA,Rnu2_RNA,polyA_RNA,n_rad_score,n_per_dist(um)
1277,100225000,-0.125385,-0.4578399999999999,-0.319665,-0.392725,0.37912,0.38097,-0.2701599999999999,-0.166255,0.1041499999999999,-0.431045,0.2857099999999999,-0.48356,-0.350985,-0.27408,0.201725,0.3115699999999999,-0.0208765,0.2466699999999999,0.39743,-0.1668399999999999,-0.198715,-0.4043249999999999,0.15865,0.0858335,-0.4892449999999999,-0.47511,0.258775,-0.308425,0.0179039999999999,-0.45199,-0.419945,-0.2763049999999999,0.399085,-0.4254,-0.13983,0.2179849999999999,-0.061752,-0.0880249999999999,-0.339225,-0.1712149999999999,0.0317935,-0.052507,-0.039866,0.18622,-0.11937,0.0010639999999999,-0.10226,-0.47776,-0.254505,-0.283485,-0.263455,-0.34996,-0.508005,-0.20205,-0.5059400000000001,-0.2718399999999999,0.7986740770504067,0.839770903505966
1278,101725000,-0.0560274999999999,-0.329245,-0.18569,-0.3059149999999999,0.369795,0.27869,-0.199965,-0.042479,0.0978325,-0.281055,0.3852649999999999,-0.3699099999999999,-0.18425,-0.17381,0.2746849999999999,0.2868549999999999,0.0334415,0.2386699999999999,0.35451,-0.14099,-0.147005,-0.2712199999999999,0.1883949999999999,0.0941095,-0.311365,-0.31787,0.252285,-0.18056,0.0729995,-0.311455,-0.26896,-0.0990934999999999,0.39739,-0.3061899999999999,-0.071792,0.1966849999999999,-0.093738,0.0152839999999999,-0.2120499999999999,-0.126275,0.0610359999999999,0.042933,0.0646735,0.1973999999999999,-0.053023,0.039609,0.0062615,-0.31243,-0.2608049999999999,-0.300735,-0.2843349999999999,-0.403475,-0.4365099999999999,-0.186435,-0.41093,-0.11929,0.8005597529673356,0.8312881592030263
1279,103225000,-0.0605849999999999,-0.2712199999999999,-0.15125,-0.277235,0.30109,0.29594,-0.18259,-0.0802154999999999,0.074073,-0.2820899999999999,0.23058,-0.29732,-0.17108,-0.155575,0.307585,0.261985,0.045786,0.26442,0.34889,-0.0879999999999999,-0.146475,-0.2626,0.16799,0.0546845,-0.28509,-0.2864,0.2433549999999999,-0.17073,0.0813774999999999,-0.28604,-0.24939,-0.10503,0.378425,-0.25233,-0.073726,0.2336399999999999,-0.0282375,0.0055109999999999,-0.1885,-0.125115,0.088822,0.0107695,-0.004529,0.200175,-0.0545265,0.0134229999999999,-0.074064,-0.2730249999999999,-0.2530499999999999,-0.292685,-0.27514,-0.394875,-0.432115,-0.19461,-0.39199,-0.176215,0.7996937633646817,0.8494882589111741
1280,104725000,-0.087815,-0.25469,-0.16659,-0.28857,0.28929,0.22578,-0.163,-0.0513669999999999,0.082975,-0.25998,0.34559,-0.3252,-0.16103,-0.12361,0.27332,0.18681,0.010246,0.18081,0.31154,-0.14364,-0.1766599999999999,-0.26655,0.1231599999999999,0.14801,-0.27486,-0.28864,0.19501,-0.19974,0.043087,-0.28245,-0.2323,-0.093999,0.32866,-0.2756699999999999,-0.072146,0.16054,-0.13827,0.036745,-0.19144,-0.12377,0.061339,-0.015083,0.083882,0.1238799999999999,-0.0778,0.016099,-0.039474,-0.27338,-0.2559099999999999,-0.30018,-0.2791099999999999,-0.40844,-0.46405,-0.18743,-0.43566,-0.12877,0.8087992195204649,0.7874561976042087
1281,106225000,-0.16832,-0.45481,-0.3769699999999999,-0.4877899999999999,0.3870699999999999,0.25493,-0.2334699999999999,-0.0980019999999999,0.15796,-0.41584,0.5928800000000001,-0.59032,-0.32914,-0.2277,0.24589,0.098486,-0.12675,0.10873,0.19799,-0.29403,-0.19502,-0.4426199999999999,0.044186,0.061903,-0.50841,-0.45293,0.11917,-0.25185,-0.10199,-0.3934,-0.4922399999999999,-0.24388,0.25553,-0.42731,-0.10568,0.090366,-0.30939,-0.098496,-0.37915,-0.20779,-0.064895,0.007661,0.2588,0.021272,-0.16837,0.056148,0.025681,-0.4370199999999999,-0.25954,-0.30171,-0.29264,-0.40739,-0.57842,-0.18927,-0.555,-0.18753,0.824913717579872,0.7207475623761388
1282,107750000,-0.1547,-0.3690799999999999,-0.32226,-0.4294599999999999,0.398775,0.286205,-0.246685,-0.162955,0.0940824999999999,-0.3937,0.4446449999999999,-0.4977799999999999,-0.29039,-0.21182,0.132215,0.12696,-0.0988904999999999,0.1117099999999999,0.27292,-0.26703,-0.2082099999999999,-0.38717,0.0420955,0.0498295,-0.44688,-0.414415,0.11734,-0.2553449999999999,-0.0628705,-0.37217,-0.420775,-0.224905,0.26641,-0.4076449999999999,-0.1379599999999999,0.1551799999999999,-0.2574299999999999,-0.038248,-0.32077,-0.2105799999999999,-0.059936,-0.0431415,0.11159,0.08077,-0.15871,-0.0138939999999999,-0.071169,-0.386295,-0.25905,-0.29552,-0.28657,-0.3912199999999999,-0.51586,-0.19425,-0.50411,-0.199565,0.8161577315945021,0.7591053742543692
1283,109250000,-0.30773,-0.7259399999999999,-0.57826,-0.60617,0.38124,0.30508,-0.3799599999999999,-0.2397,0.12794,-0.61159,0.51952,-0.77789,-0.52922,-0.3883,0.13843,0.0781179999999999,-0.28517,0.044857,0.076598,-0.43306,-0.27331,-0.62415,-0.0675159999999999,0.063622,-0.75668,-0.65666,0.0527529999999999,-0.42956,-0.25026,-0.59408,-0.70325,-0.56107,0.16367,-0.64766,-0.20438,0.0342769999999999,-0.38561,-0.38209,-0.57953,-0.37773,-0.20367,-0.10625,0.20638,-0.043204,-0.31255,0.029382,-0.085358,-0.68497,-0.25555,-0.2897,-0.27612,-0.3174599999999999,-0.66354,-0.19565,-0.64443,-0.30625,0.829121740400533,0.6956977861861215
1284,110750000,-0.29249,-0.8347149999999999,-0.65533,-0.6456299999999999,0.3595099999999999,0.20736,-0.415425,-0.23008,0.1039949999999999,-0.661645,0.51241,-0.8737199999999999,-0.572215,-0.4212,0.13674,-0.0554479999999999,-0.404755,-0.0562904999999999,-0.0861754999999999,-0.509235,-0.3196299999999999,-0.706455,-0.12949,0.0584094999999999,-0.8539100000000001,-0.701835,-0.0262589999999999,-0.472655,-0.32125,-0.655865,-0.780845,-0.6556500000000001,0.057939,-0.662405,-0.227175,-0.0432285,-0.4938,-0.545745,-0.655135,-0.42506,-0.243525,-0.1458399999999999,0.26017,-0.10781,-0.34656,0.0153684999999999,-0.0548429999999999,-0.752545,-0.25764,-0.2842,-0.253045,-0.1844099999999999,-0.694135,-0.19821,-0.67472,-0.3099,0.8294463523993767,0.70199237281935
1285,112250000,-0.2774649999999999,-0.76745,-0.63175,-0.59944,0.29154,0.1040999999999999,-0.410705,-0.2404099999999999,0.0741415,-0.644555,0.458855,-0.8259700000000001,-0.55432,-0.41517,0.0638855,-0.0805295,-0.39186,-0.1056149999999999,-0.101395,-0.5049350000000001,-0.32113,-0.6848799999999999,-0.156405,-0.0008379999999999,-0.8186249999999999,-0.6843899999999999,-0.0987955,-0.43428,-0.30912,-0.621895,-0.773925,-0.6317200000000001,0.0094144999999999,-0.62688,-0.23749,-0.0340754999999999,-0.487885,-0.499295,-0.631675,-0.4211199999999999,-0.295705,-0.1674,0.21228,-0.1433849999999999,-0.344205,-0.045946,-0.1125699999999999,-0.72892,-0.25463,-0.27227,-0.25632,-0.171015,-0.6632199999999999,-0.203865,-0.6548499999999999,-0.30791,0.8270310284083603,0.7133469456624506
1286,113750000,-0.28129,-0.8099,-0.62621,-0.61917,0.38593,0.23651,-0.41088,-0.26897,0.10334,-0.65383,0.43285,-0.8417600000000001,-0.55978,-0.42683,0.089875,0.010859,-0.35547,-0.0198479999999999,-0.013189,-0.47926,-0.29331,-0.6823100000000001,-0.11207,0.0584159999999999,-0.8351700000000001,-0.70376,-0.0036229999999999,-0.46392,-0.28141,-0.6521399999999999,-0.77376,-0.64622,0.12095,-0.64975,-0.24639,0.030514,-0.4280199999999999,-0.482,-0.63325,-0.4318399999999999,-0.24353,-0.16474,0.17743,-0.076932,-0.3449,-0.00831,-0.11681,-0.73453,-0.25339,-0.27165,-0.23365,-0.13498,-0.67602,-0.20351,-0.6641,-0.33874,0.8234258346351256,0.7260068609178307
